	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																													
2/15/2024	CDM	6678	92295938	HC SOMATOSENS EVOKED PO UPRLWR EXT		OP		95938	    	922	1134	737.1	113.4	1951.73	307.76	1134	876.58	478.6	932.15	492.9	932.15	1134	1445.74	1134	478.6	1445.74	478.6	567	1134	492.9	1134	477.41	521.64	793.8	496.11	793.8	544.32	290.66	1376.37	850.5	589.68	466.63	272.16	272.16	714.42	907.2	478.6	1134	474.01	1134	284.96	486.38
2/15/2024	CDM	6679	92295939	HC C MOTOR EVOKED UPR AND LWR		IP		95939	    	922	585	380.25	58.5	585	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	292.5	N/A	N/A	N/A	250.97	289.57	N/A	N/A	N/A	280.8	N/A	N/A	438.75	304.2	N/A	N/A	N/A	N/A	468	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6680	92295939	HC C MOTOR EVOKED UPR AND LWR		OP		95939	    	922	585	380.25	58.5	3807.24	600.34	585	452.2	933.6	480.87	961.49	480.87	585	2820.21	585	933.6	2820.21	933.6	292.5	585	961.49	585	246.29	269.1	409.5	967.76	409.5	280.8	566.99	2660.29	438.75	304.2	910.26	140.4	140.4	368.55	468	933.6	909.12	244.53	585	555.87	948.78
2/15/2024	CDM	6681	92295940	HC INTRAOP NEUROPHYS MONITOR15 MIN		IP		95940	    	922	397	258.05	39.7	397	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	198.5	N/A	N/A	N/A	170.31	196.51	N/A	N/A	N/A	190.56	N/A	N/A	297.75	206.44	N/A	N/A	N/A	N/A	317.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6682	92295940	HC INTRAOP NEUROPHYS MONITOR15 MIN		OP		95940	    	922	397	258.05	39.7	397	N/A	397	306.88	N/A	326.33	N/A	326.33	397	N/A	397	N/A	N/A	N/A	198.5	397	N/A	397	167.14	182.62	277.9	N/A	277.9	190.56	N/A	151.65	297.75	206.44	N/A	95.28	95.28	250.11	317.6	N/A	397	165.95	397	N/A	N/A
2/15/2024	CDM	6683	94099195	HC PHLEBOTOMY THERAPEUTIC		IP		99195	    	940	544	353.6	54.4	544	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	272	N/A	N/A	N/A	233.38	269.28	N/A	N/A	N/A	261.12	N/A	N/A	408	282.88	N/A	N/A	N/A	N/A	435.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6684	94099195	HC PHLEBOTOMY THERAPEUTIC		OP		99195	    	940	544	353.6	54.4	544	73.34	544	420.51	114.07	447.17	117.48	447.17	544	344.55	544	114.07	344.55	114.07	272	544	117.48	544	229.02	250.24	380.8	118.24	380.8	261.12	69.27	330.59	408	282.88	111.22	130.56	130.56	342.72	435.2	114.07	111.07	227.39	544	67.91	115.92
2/15/2024	CDM	6685	94200108	HC DSMT 30 MIN INDIVID		IP		G0108	    	942	181	117.65	18.1	181	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	90.5	N/A	N/A	N/A	77.65	89.59	N/A	N/A	N/A	86.88	N/A	N/A	135.75	94.12	N/A	N/A	N/A	N/A	144.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6686	94200108	HC DSMT 30 MIN INDIVID		OP		G0108	    	942	181	117.65	18.1	181	30.99	181	139.91	50.38	148.78	51.89	148.78	181	51.41	181	50.38	51.41	50.38	90.5	181	51.89	181	76.2	83.26	126.7	52.44	126.7	86.88	29.26	106.63	135.75	94.12	49.12	43.44	43.44	114.03	144.8	50.38	50.31	75.66	181	28.69	51.41
2/15/2024	CDM	6687	94200109	HC DSMT 30 MIN GROUP		IP		G0109	    	942	141	91.65	14.1	141	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	70.5	N/A	N/A	N/A	60.49	69.8	N/A	N/A	N/A	67.68	N/A	N/A	105.75	73.32	N/A	N/A	N/A	N/A	112.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6688	94200109	HC DSMT 30 MIN GROUP		OP		G0109	    	942	141	91.65	8.25	141	8.91	141	108.99	14.49	115.9	14.93	115.9	141	14.79	141	14.49	14.79	14.49	70.5	141	14.93	141	59.36	64.86	98.7	15.09	98.7	67.68	8.42	30.19	105.75	73.32	14.13	33.84	33.84	88.83	112.8	14.49	14.26	58.94	141	8.25	14.79
2/15/2024	CDM	6689	94200447	HC OBESITY COUNSELING 15 MIN		IP		G0447	    	942	196	127.4	19.6	196	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	98	N/A	N/A	N/A	84.08	97.02	N/A	N/A	N/A	94.08	N/A	N/A	147	101.92	N/A	N/A	N/A	N/A	156.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6690	94200447	HC OBESITY COUNSELING 15 MIN		OP		G0447	    	942	196	127.4	19.6	324.58	N/A	196	151.51	79.27	161.11	81.65	161.11	196	240.43	196	79.27	240.43	79.27	98	196	81.65	196	82.52	90.16	137.2	82.51	137.2	94.08	N/A	215.96	147	101.92	77.29	47.04	47.04	123.48	156.8	79.27	77.51	81.93	196	N/A	80.89
2/15/2024	CDM	6691	94200473	HC GROUP OBESITY COUNSELING 30 MIN		IP		G0473	    	942	103	66.95	10.3	103	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	51.5	N/A	N/A	N/A	44.19	50.98	N/A	N/A	N/A	49.44	N/A	N/A	77.25	53.56	N/A	N/A	N/A	N/A	82.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6692	94200473	HC GROUP OBESITY COUNSELING 30 MIN		OP		G0473	    	942	103	66.95	10.3	104.5	N/A	103	79.62	25.52	84.67	26.28	84.67	103	77.41	103	25.52	77.41	25.52	51.5	103	26.28	103	43.36	47.38	72.1	26.56	72.1	49.44	N/A	84.5	77.25	53.56	24.88	24.72	24.72	64.89	82.4	25.52	24.95	43.05	103	N/A	26.04
2/15/2024	CDM	6693	94290853	HC PHP EDUCTRAINING 45 MIN OR		IP		90853	    	942	473	307.45	47.3	473	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	236.5	N/A	N/A	N/A	202.92	234.13	N/A	N/A	N/A	227.04	N/A	N/A	354.75	245.96	N/A	N/A	N/A	N/A	378.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6694	94290853	HC PHP EDUCTRAINING 45 MIN OR		OP		90853	    	942	473	307.45	47.3	473	51.18	473	365.63	79.6	388.81	81.98	388.81	473	240.43	473	79.6	240.43	79.6	236.5	473	81.98	473	199.13	217.58	331.1	82.51	331.1	227.04	48.34	215.96	354.75	245.96	77.61	113.52	113.52	297.99	378.4	79.6	77.51	197.71	473	47.39	80.89
2/15/2024	CDM	6695	94295249	HC GLUCOSE MONITOR CONT 72HR MIN PT EQUIPMENT		IP		95249	    	942	233	151.45	23.3	233	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	116.5	N/A	N/A	N/A	99.96	115.33	N/A	N/A	N/A	111.84	N/A	N/A	174.75	121.16	N/A	N/A	N/A	N/A	186.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6696	94295249	HC GLUCOSE MONITOR CONT 72HR MIN PT EQUIPMENT		OP		95249	    	942	233	151.45	23.3	233	35.12	233	180.11	54.62	191.53	56.26	191.53	233	164.98	233	54.62	164.98	54.62	116.5	233	56.26	233	98.09	107.18	163.1	56.62	163.1	111.84	33.17	163.65	174.75	121.16	53.25	55.92	55.92	146.79	186.4	54.62	53.19	97.39	233	32.52	55.51
2/15/2024	CDM	6697	94295250	HC GLUCOSE MONITOR CONT 72HR MIN FAC EQUIPMENT		IP		95250	    	942	481	312.65	48.1	481	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	240.5	N/A	N/A	N/A	206.35	238.09	N/A	N/A	N/A	230.88	N/A	N/A	360.75	250.12	N/A	N/A	N/A	N/A	384.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6698	94295250	HC GLUCOSE MONITOR CONT 72HR MIN FAC EQUIPMENT		OP		95250	    	942	481	312.65	48.1	481.37	75.9	481	371.81	118.04	395.38	121.57	395.38	481	356.57	481	118.04	356.57	118.04	240.5	481	121.57	481	202.5	221.26	336.7	122.36	336.7	230.88	71.69	344.11	360.75	250.12	115.09	115.44	115.44	303.03	384.8	118.04	114.94	201.06	481	70.28	119.96
2/15/2024	CDM	6699	94297802	HC MNT INITIAL ASSESS  INTERVENTION		IP		97802	    	942	105	68.25	10.5	105	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	52.5	N/A	N/A	N/A	45.05	51.98	N/A	N/A	N/A	50.4	N/A	N/A	78.75	54.6	N/A	N/A	N/A	N/A	84	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6700	94297802	HC MNT INITIAL ASSESS  INTERVENTION		OP		97802	    	942	105	68.25	10.5	105	N/A	105	81.17	28.41	86.31	29.26	86.31	105	28.99	105	28.41	28.99	28.41	52.5	105	29.26	105	44.21	48.3	73.5	29.57	73.5	50.4	N/A	62.43	78.75	54.6	27.7	25.2	25.2	66.15	84	28.41	29.74	43.89	105	N/A	28.99
2/15/2024	CDM	6701	94297803	HC MNT REASSESS  INTERVENTION		IP		97803	    	942	105	68.25	10.5	105	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	52.5	N/A	N/A	N/A	45.05	51.98	N/A	N/A	N/A	50.4	N/A	N/A	78.75	54.6	N/A	N/A	N/A	N/A	84	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6702	94297803	HC MNT REASSESS  INTERVENTION		OP		97803	    	942	105	68.25	10.5	105	N/A	105	81.17	24.74	86.31	25.48	86.31	105	25.24	105	24.74	25.24	24.74	52.5	105	25.48	105	44.21	48.3	73.5	25.74	73.5	50.4	N/A	53.25	78.75	54.6	24.12	25.2	25.2	66.15	84	24.74	25.11	43.89	105	N/A	25.24
2/15/2024	CDM	6703	94297804	HC MNT GROUP EACH 30 MIN		IP		97804	    	942	147	95.55	14.7	147	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	73.5	N/A	N/A	N/A	63.06	72.77	N/A	N/A	N/A	70.56	N/A	N/A	110.25	76.44	N/A	N/A	N/A	N/A	117.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6704	94297804	HC MNT GROUP EACH 30 MIN		OP		97804	    	942	147	95.55	12.73	147	N/A	147	113.63	13.06	120.83	13.46	120.83	147	13.33	147	13.06	13.33	13.06	73.5	147	13.46	147	61.89	67.62	102.9	13.6	102.9	70.56	N/A	29.56	110.25	76.44	12.73	35.28	35.28	92.61	117.6	13.06	14.26	61.45	147	N/A	13.33
2/15/2024	CDM	6705	94299211	HC OSTCATH SELFCARE INSTRUCT		IP		99211	    	942	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6706	94299211	HC OSTCATH SELFCARE INSTRUCT		OP		99211	    	942	144	93.6	14.4	144	N/A	144	111.31	N/A	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	N/A	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	144	60.19	144	N/A	N/A
2/15/2024	CDM	6707	94299406	HC SMOKING CESSATION INDIV 310 MIN		IP		99406	    	942	147	95.55	14.7	147	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	73.5	N/A	N/A	N/A	63.06	72.77	N/A	N/A	N/A	70.56	N/A	N/A	110.25	76.44	N/A	N/A	N/A	N/A	117.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6708	94299406	HC SMOKING CESSATION INDIV 310 MIN		OP		99406	    	942	147	95.55	14.7	147	16.48	147	113.63	25.52	120.83	26.28	120.83	147	77.41	147	25.52	77.41	25.52	73.5	147	26.28	147	61.89	67.62	102.9	26.56	102.9	70.56	15.57	84.5	110.25	76.44	24.88	35.28	35.28	92.61	117.6	25.52	24.95	61.45	147	15.26	26.04
2/15/2024	CDM	6709	94299407	HC SMOKING CESSATION INDIV 10 MIN		IP		99407	    	942	190	123.5	19	190	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	95	N/A	N/A	N/A	81.51	94.05	N/A	N/A	N/A	91.2	N/A	N/A	142.5	98.8	N/A	N/A	N/A	N/A	152	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6710	94299407	HC SMOKING CESSATION INDIV 10 MIN		OP		99407	    	942	190	123.5	15.26	190	16.48	190	146.87	25.52	156.18	26.28	156.18	190	77.41	190	25.52	77.41	25.52	95	190	26.28	190	79.99	87.4	133	26.56	133	91.2	15.57	84.5	142.5	98.8	24.88	45.6	45.6	119.7	152	25.52	24.95	79.42	190	15.26	26.04
2/15/2024	CDM	6711	94300000	HC CARD REHAB PHASE III 912 SESSIONS PER MONTH		IP			    	990	70	45.5	7	70	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	35	N/A	N/A	N/A	30.03	34.65	N/A	N/A	N/A	33.6	N/A	N/A	52.5	36.4	N/A	N/A	N/A	N/A	56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6712	94300000	HC CARD REHAB PHASE III 912 SESSIONS PER MONTH		OP			    	990	70	45.5	7	70	N/A	70	N/A	N/A	N/A	N/A	N/A	70	N/A	70	N/A	N/A	N/A	35	70	N/A	70	29.47	32.2	49	N/A	49	33.6	N/A	24.57	52.5	36.4	N/A	16.8	16.8	44.1	56	N/A	70	N/A	70	N/A	N/A
2/15/2024	CDM	6713	94300001	HC CARD REHAB PHASE III 16 SESSIONS PER MONTH		IP			    	990	35	22.75	3.5	35	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	17.5	N/A	N/A	N/A	15.02	17.32	N/A	N/A	N/A	16.8	N/A	N/A	26.25	18.2	N/A	N/A	N/A	N/A	28	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6714	94300001	HC CARD REHAB PHASE III 16 SESSIONS PER MONTH		OP			    	990	35	22.75	3.5	35	N/A	35	N/A	N/A	N/A	N/A	N/A	35	N/A	35	N/A	N/A	N/A	17.5	35	N/A	35	14.74	16.1	24.5	N/A	24.5	16.8	N/A	12.29	26.25	18.2	N/A	8.4	8.4	22.05	28	N/A	35	N/A	35	N/A	N/A
2/15/2024	CDM	6715	94300008	HC CARD REHAB PHASE III 78 SESSIONS PER MONTH		IP			    	990	45	29.25	4.5	45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	22.5	N/A	N/A	N/A	19.3	22.27	N/A	N/A	N/A	21.6	N/A	N/A	33.75	23.4	N/A	N/A	N/A	N/A	36	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6716	94300008	HC CARD REHAB PHASE III 78 SESSIONS PER MONTH		OP			    	990	45	29.25	4.5	45	N/A	45	N/A	N/A	N/A	N/A	N/A	45	N/A	45	N/A	N/A	N/A	22.5	45	N/A	45	18.95	20.7	31.5	N/A	31.5	21.6	N/A	15.8	33.75	23.4	N/A	10.8	10.8	28.35	36	N/A	45	N/A	45	N/A	N/A
2/15/2024	CDM	6717	94393797	HC CARD REHAB PHS 2 WO ECG PER SES		IP		93797	    	943	440	286	44	440	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	220	N/A	N/A	N/A	188.76	217.8	N/A	N/A	N/A	211.2	N/A	N/A	330	228.8	N/A	N/A	N/A	N/A	352	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6718	94393797	HC CARD REHAB PHS 2 WO ECG PER SES		OP		93797	    	943	440	286	44	481.17	75.87	440	340.12	117.99	361.68	121.52	361.68	440	356.43	440	117.99	356.43	117.99	220	440	121.52	440	185.24	202.4	308	122.31	308	211.2	71.66	341.84	330	228.8	115.04	105.6	105.6	277.2	352	117.99	114.89	183.92	440	70.25	119.91
2/15/2024	CDM	6719	94393798	HC CARD REHAB PHASE 2 WECGSESSION		IP		93798	    	943	470	305.5	47	470	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	235	N/A	N/A	N/A	201.63	232.65	N/A	N/A	N/A	225.6	N/A	N/A	352.5	244.4	N/A	N/A	N/A	N/A	376	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6720	94393798	HC CARD REHAB PHASE 2 WECGSESSION		OP		93798	    	943	470	305.5	47	481.17	75.87	470	363.31	117.99	386.34	121.52	386.34	470	356.43	470	117.99	356.43	117.99	235	470	121.52	470	197.87	216.2	329	122.31	329	225.6	71.66	341.84	352.5	244.4	115.04	112.8	112.8	296.1	376	117.99	114.89	196.46	470	70.25	119.91
2/15/2024	CDM	6721	94999211	HC GENETICS PERSONAL HX 15 MIN		IP		99211	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6722	94999211	HC GENETICS PERSONAL HX 15 MIN		OP		99211	    	949	144	93.6	14.4	144	N/A	144	111.31	N/A	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	N/A	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	144	60.19	144	N/A	N/A
2/15/2024	CDM	6723	94999212	HC GENETICS PERSONAL HX 30 MIN		IP		99212	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6724	94999212	HC GENETICS PERSONAL HX 30 MIN		OP		99212	    	949	144	93.6	14.4	144	N/A	144	111.31	N/A	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	N/A	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	144	60.19	144	N/A	N/A
2/15/2024	CDM	6725	94999213	HC GENETICS PERSONAL HX 45 MIN		IP		99213	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6726	94999213	HC GENETICS PERSONAL HX 45 MIN		OP		99213	    	949	144	93.6	14.4	144	N/A	144	111.31	N/A	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	N/A	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	144	60.19	144	N/A	N/A
2/15/2024	CDM	6727	94999214	HC GENETICS PERSONAL HX 60 MIN		IP		99214	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6728	94999214	HC GENETICS PERSONAL HX 60 MIN		OP		99214	    	949	144	93.6	14.4	144	N/A	144	111.31	N/A	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	N/A	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	144	60.19	144	N/A	N/A
2/15/2024	CDM	6729	94999401	HC GENETICS FAMILY HX 15 MIN		IP		99401	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6730	94999401	HC GENETICS FAMILY HX 15 MIN		OP		99401	    	949	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	22.4	60.19	144	67.44	N/A
2/15/2024	CDM	6731	94999402	HC GENETICS FAMILY HX 30 MIN		IP		99402	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6732	94999402	HC GENETICS FAMILY HX 30 MIN		OP		99402	    	949	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	44.75	60.19	144	67.44	N/A
2/15/2024	CDM	6733	94999403	HC GENETICS FAMILY HX 45 MIN		IP		99403	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6734	94999403	HC GENETICS FAMILY HX 45 MIN		OP		99403	    	949	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	67.16	60.19	144	67.44	N/A
2/15/2024	CDM	6735	94999404	HC GENETICS FAMILY HX 60 MIN		IP		99404	    	949	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6736	94999404	HC GENETICS FAMILY HX 60 MIN		OP		99404	    	949	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	89.2	60.19	144	67.44	N/A
2/15/2024	CDM	6737	99000000	HC L COSMETIC MAJOR BASE		IP			    	990	670	435.5	67	670	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	335	N/A	N/A	N/A	287.43	331.65	N/A	N/A	N/A	321.6	N/A	N/A	502.5	348.4	N/A	N/A	N/A	N/A	536	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6738	99000000	HC L COSMETIC MAJOR BASE		OP			    	990	670	435.5	67	670	N/A	670	N/A	N/A	N/A	N/A	N/A	670	N/A	670	N/A	N/A	N/A	335	670	N/A	670	282.07	308.2	469	N/A	469	321.6	N/A	235.17	502.5	348.4	N/A	160.8	160.8	422.1	536	N/A	670	N/A	670	N/A	N/A
2/15/2024	CDM	6739	99000001	HC L COSMETIC MAJOR ADDL		IP			    	990	190	123.5	19	190	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	95	N/A	N/A	N/A	81.51	94.05	N/A	N/A	N/A	91.2	N/A	N/A	142.5	98.8	N/A	N/A	N/A	N/A	152	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6740	99000001	HC L COSMETIC MAJOR ADDL		OP			    	990	190	123.5	19	190	N/A	190	N/A	N/A	N/A	N/A	N/A	190	N/A	190	N/A	N/A	N/A	95	190	N/A	190	79.99	87.4	133	N/A	133	91.2	N/A	66.69	142.5	98.8	N/A	45.6	45.6	119.7	152	N/A	190	N/A	190	N/A	N/A
2/15/2024	CDM	6741	99000010	HC COSMETIC BREAST AUGMENTATION PACU INCLUDED		IP			    	990	1460	949	146	1460	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	730	N/A	N/A	N/A	626.34	722.7	N/A	N/A	N/A	700.8	N/A	N/A	1095	759.2	N/A	N/A	N/A	N/A	1168	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6742	99000010	HC COSMETIC BREAST AUGMENTATION PACU INCLUDED		OP			    	990	1460	949	146	1460	N/A	1460	N/A	N/A	N/A	N/A	N/A	1460	N/A	1460	N/A	N/A	N/A	730	1460	N/A	1460	614.66	671.6	1022	N/A	1022	700.8	N/A	512.46	1095	759.2	N/A	350.4	350.4	919.8	1168	N/A	1460	N/A	1460	N/A	N/A
2/15/2024	CDM	6743	99000011	HC COSMETIC PACU INITIAL 120 MIN		IP			    	990	270	175.5	27	270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	135	N/A	N/A	N/A	115.83	133.65	N/A	N/A	N/A	129.6	N/A	N/A	202.5	140.4	N/A	N/A	N/A	N/A	216	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6744	99000011	HC COSMETIC PACU INITIAL 120 MIN		OP			    	990	270	175.5	27	270	N/A	270	N/A	N/A	N/A	N/A	N/A	270	N/A	270	N/A	N/A	N/A	135	270	N/A	270	113.67	124.2	189	N/A	189	129.6	N/A	94.77	202.5	140.4	N/A	64.8	64.8	170.1	216	N/A	270	N/A	270	N/A	N/A
2/15/2024	CDM	6745	99000012	HC COSMETIC PACU ADDL 15 MIN		IP			    	990	30	19.5	3	30	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	15	N/A	N/A	N/A	12.87	14.85	N/A	N/A	N/A	14.4	N/A	N/A	22.5	15.6	N/A	N/A	N/A	N/A	24	N/A	N/A	N/A	N/A	N/A	N/A
