	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																						
2/15/2024	DRG	5479	APR-DRG 110-3	"EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL MALIGNANCIES"	110-3	IP					106416.85	69170.95	550	9869.34	550	8972.13	N/A	N/A	N/A	N/A	N/A	9869.34	N/A	9241.29	N/A	N/A	8153.55	N/A	7999.71	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8076.63	N/A
2/15/2024	DRG	5480	APR-DRG 110-4	"EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL MALIGNANCIES"	110-4	IP					497327.58	323262.93	550	48848.86	550	28268.06	N/A	N/A	N/A	N/A	N/A	31094.87	N/A	29116.1	N/A	N/A	48848.86	N/A	47927.18	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48388.02	N/A
2/15/2024	DRG	5481	APR-DRG 111-1	VERTIGO AND OTHER LABYRINTH DISORDERS	111-1	IP					10626	6906.9	550	4135.55	550	3759.59	N/A	N/A	N/A	N/A	N/A	4135.55	N/A	3872.38	N/A	N/A	3543.19	N/A	3476.34	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3509.76	N/A
2/15/2024	DRG	5482	APR-DRG 111-2	VERTIGO AND OTHER LABYRINTH DISORDERS	111-2	IP					14832.18	9640.92	550	4286.26	550	3896.6	N/A	N/A	N/A	N/A	N/A	4286.26	N/A	4013.5	N/A	N/A	3664.37	N/A	3595.23	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3629.8	N/A
2/15/2024	DRG	5483	APR-DRG 111-3	VERTIGO AND OTHER LABYRINTH DISORDERS	111-3	IP					15566.98	10118.54	550	5427.14	550	4933.76	N/A	N/A	N/A	N/A	N/A	5427.14	N/A	5081.77	N/A	N/A	4581.71	N/A	4495.26	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4538.49	N/A
2/15/2024	DRG	5484	APR-DRG 111-4	VERTIGO AND OTHER LABYRINTH DISORDERS	111-4	IP					100919.57	65597.72	550	5427.14	550	4933.76	N/A	N/A	N/A	N/A	N/A	5427.14	N/A	5081.77	N/A	N/A	4581.71	N/A	4495.26	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4538.49	N/A
2/15/2024	DRG	5485	APR-DRG 113-1	INFECTIONS OF UPPER RESPIRATORY TRACT	113-1	IP					9897.66	6433.48	550	3460.36	550	3145.78	N/A	N/A	N/A	N/A	N/A	3460.36	N/A	3240.15	N/A	N/A	3000.29	N/A	2943.68	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2971.98	N/A
2/15/2024	DRG	5486	APR-DRG 113-2	INFECTIONS OF UPPER RESPIRATORY TRACT	113-2	IP					13541.8	8802.17	550	4508.56	550	4098.69	N/A	N/A	N/A	N/A	N/A	4508.56	N/A	4221.65	N/A	N/A	3843.1	N/A	3770.59	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3806.85	N/A
2/15/2024	DRG	5487	APR-DRG 113-3	INFECTIONS OF UPPER RESPIRATORY TRACT	113-3	IP					12485.8	8115.77	550	6273.38	550	5703.07	N/A	N/A	N/A	N/A	N/A	6273.38	N/A	5874.16	N/A	N/A	5262.15	N/A	5162.86	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5212.5	N/A
2/15/2024	DRG	5488	APR-DRG 113-4	INFECTIONS OF UPPER RESPIRATORY TRACT	113-4	IP					19853.85	12905	550	13432.9	550	12211.73	N/A	N/A	N/A	N/A	N/A	13432.9	N/A	12578.08	N/A	N/A	11018.9	N/A	10811	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10914.95	N/A
2/15/2024	DRG	5489	APR-DRG 114-1	DENTAL DISEASES AND DISORDERS	114-1	IP					9750.76	6337.99	550	4151.37	550	3773.97	N/A	N/A	N/A	N/A	N/A	4151.37	N/A	3887.19	N/A	N/A	3555.91	N/A	3488.82	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3522.36	N/A
2/15/2024	DRG	5490	APR-DRG 114-2	DENTAL DISEASES AND DISORDERS	114-2	IP					15023.93	9765.55	550	7289.92	550	6627.2	N/A	N/A	N/A	N/A	N/A	7289.92	N/A	6826.02	N/A	N/A	6079.52	N/A	5964.82	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6022.17	N/A
2/15/2024	DRG	5491	APR-DRG 114-3	DENTAL DISEASES AND DISORDERS	114-3	IP					13097.45	8513.34	550	7289.92	550	6627.2	N/A	N/A	N/A	N/A	N/A	7289.92	N/A	6826.02	N/A	N/A	6079.52	N/A	5964.82	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6022.17	N/A
2/15/2024	DRG	5492	APR-DRG 114-4	DENTAL DISEASES AND DISORDERS	114-4	IP					93840.86	60996.56	550	7289.92	550	6627.2	N/A	N/A	N/A	N/A	N/A	7289.92	N/A	6826.02	N/A	N/A	6079.52	N/A	5964.82	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6022.17	N/A
2/15/2024	DRG	5493	APR-DRG 115-1	"OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES"	115-1	IP					8670.34	5635.72	550	4439.23	550	4035.66	N/A	N/A	N/A	N/A	N/A	4439.23	N/A	4156.73	N/A	N/A	3787.37	N/A	3715.91	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3751.64	N/A
2/15/2024	DRG	5494	APR-DRG 115-2	"OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES"	115-2	IP					24454.12	15895.18	550	5574.09	550	5067.35	N/A	N/A	N/A	N/A	N/A	5574.09	N/A	5219.37	N/A	N/A	4699.87	N/A	4611.19	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4655.53	N/A
2/15/2024	DRG	5495	APR-DRG 115-3	"OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES"	115-3	IP					21412.5	13918.13	550	8136.17	550	7396.52	N/A	N/A	N/A	N/A	N/A	8136.17	N/A	7618.42	N/A	N/A	6759.96	N/A	6632.41	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6696.19	N/A
2/15/2024	DRG	5496	APR-DRG 115-4	"OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES"	115-4	IP					112151.87	72898.72	550	22330.13	550	20300.12	N/A	N/A	N/A	N/A	N/A	22330.13	N/A	20909.12	N/A	N/A	18172.87	N/A	17829.99	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	18001.43	N/A
2/15/2024	DRG	5497	APR-DRG 120-1	MAJOR RESPIRATORY AND CHEST PROCEDURES	120-1	IP					47026.94	30567.51	550	12908.43	550	11734.94	N/A	N/A	N/A	N/A	N/A	12908.43	N/A	12086.99	N/A	N/A	10597.18	N/A	10397.23	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10497.21	N/A
2/15/2024	DRG	5498	APR-DRG 120-2	MAJOR RESPIRATORY AND CHEST PROCEDURES	120-2	IP					58706.63	38159.31	550	15803.59	550	14366.9	N/A	N/A	N/A	N/A	N/A	15803.59	N/A	14797.91	N/A	N/A	12925.09	N/A	12681.22	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12803.15	N/A
2/15/2024	DRG	5499	APR-DRG 120-3	MAJOR RESPIRATORY AND CHEST PROCEDURES	120-3	IP					60445.42	39289.52	550	22911.12	550	20828.29	N/A	N/A	N/A	N/A	N/A	22911.12	N/A	21453.14	N/A	N/A	18640.04	N/A	18288.34	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	18464.19	N/A
2/15/2024	DRG	5500	APR-DRG 120-4	MAJOR RESPIRATORY AND CHEST PROCEDURES	120-4	IP					123201.15	80080.75	550	46243.44	550	42039.49	N/A	N/A	N/A	N/A	N/A	46243.44	N/A	43300.67	N/A	N/A	37400.82	N/A	36695.14	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	37047.98	N/A
2/15/2024	DRG	5501	APR-DRG 121-1	OTHER RESPIRATORY AND CHEST PROCEDURES	121-1	IP					47797.69	31068.5	550	10608.59	550	9644.17	N/A	N/A	N/A	N/A	N/A	10608.59	N/A	9933.5	N/A	N/A	8747.95	N/A	8582.89	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8665.42	N/A
2/15/2024	DRG	5502	APR-DRG 121-2	OTHER RESPIRATORY AND CHEST PROCEDURES	121-2	IP					83678.16	54390.8	550	12914.46	550	11740.42	N/A	N/A	N/A	N/A	N/A	12914.46	N/A	12092.63	N/A	N/A	10602.04	N/A	10402	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10502.02	N/A
2/15/2024	DRG	5503	APR-DRG 121-3	OTHER RESPIRATORY AND CHEST PROCEDURES	121-3	IP					89193.3	57975.65	550	20326.43	550	18478.57	N/A	N/A	N/A	N/A	N/A	20326.43	N/A	19032.93	N/A	N/A	16561.76	N/A	16249.27	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16405.51	N/A
2/15/2024	DRG	5504	APR-DRG 121-4	OTHER RESPIRATORY AND CHEST PROCEDURES	121-4	IP					131292.22	85339.94	550	33803.76	550	30730.69	N/A	N/A	N/A	N/A	N/A	33803.76	N/A	31652.61	N/A	N/A	27398.46	N/A	26881.5	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	27139.98	N/A
2/15/2024	DRG	5505	APR-DRG 130-1	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS	130-1	IP					65233.4	42401.71	1608	24021.87	1736.64	21838.06	N/A	N/A	N/A	N/A	N/A	24021.87	N/A	22493.2	N/A	N/A	19533.14	N/A	19164.59	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19348.86	N/A
2/15/2024	DRG	5506	APR-DRG 130-2	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS	130-2	IP					366722	238369.3	550	24021.87	550	21838.06	N/A	N/A	N/A	N/A	N/A	24021.87	N/A	22493.2	N/A	N/A	19533.14	N/A	19164.59	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19348.86	N/A
2/15/2024	DRG	5507	APR-DRG 130-3	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS	130-3	IP					199201.2	129480.78	550	31063.08	550	28239.16	N/A	N/A	N/A	N/A	N/A	31063.08	N/A	29086.33	N/A	N/A	25194.77	N/A	24719.4	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	24957.08	N/A
2/15/2024	DRG	5508	APR-DRG 130-4	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS	130-4	IP					645999.87	419899.92	550	86317.24	550	58639.71	N/A	N/A	N/A	N/A	N/A	64503.68	N/A	60398.9	N/A	N/A	86317.24	N/A	84688.61	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	85502.93	N/A
2/15/2024	DRG	5509	APR-DRG 131-1	CYSTIC FIBROSIS - PULMONARY DISEASE	131-1	IP					229413.69	149118.9	550	18123.79	550	16476.17	N/A	N/A	N/A	N/A	N/A	18123.79	N/A	16970.46	N/A	N/A	14790.69	N/A	14511.62	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14651.15	N/A
2/15/2024	DRG	5510	APR-DRG 131-2	CYSTIC FIBROSIS - PULMONARY DISEASE	131-2	IP					170716	110965.4	550	18123.79	550	16476.17	N/A	N/A	N/A	N/A	N/A	18123.79	N/A	16970.46	N/A	N/A	14790.69	N/A	14511.62	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14651.15	N/A
2/15/2024	DRG	5511	APR-DRG 131-3	CYSTIC FIBROSIS - PULMONARY DISEASE	131-3	IP					162892	105879.8	550	23846.28	550	21678.44	N/A	N/A	N/A	N/A	N/A	23846.28	N/A	22328.79	N/A	N/A	19391.97	N/A	19026.08	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19209.03	N/A
2/15/2024	DRG	5512	APR-DRG 131-4	CYSTIC FIBROSIS - PULMONARY DISEASE	131-4	IP					585826	380786.9	550	70803.58	550	45952.85	N/A	N/A	N/A	N/A	N/A	50548.14	N/A	47331.44	N/A	N/A	70803.58	N/A	69467.66	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70135.62	N/A
2/15/2024	DRG	5513	APR-DRG 132-1	BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD	132-1	IP					13112.98	8523.44	1608	5475.36	1736.64	4977.6	N/A	N/A	N/A	N/A	N/A	5475.36	N/A	5126.93	N/A	N/A	4620.49	N/A	4533.31	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4576.9	N/A
2/15/2024	DRG	5514	APR-DRG 132-2	BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD	132-2	IP					18860.24	12259.16	550	7312.54	550	6647.76	N/A	N/A	N/A	N/A	N/A	7312.54	N/A	6847.19	N/A	N/A	6097.7	N/A	5982.65	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6040.18	N/A
2/15/2024	DRG	5515	APR-DRG 132-3	BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD	132-3	IP					4993.8	3245.97	550	19170.47	550	17427.7	N/A	N/A	N/A	N/A	N/A	19170.47	N/A	17950.53	N/A	N/A	15632.3	N/A	15337.35	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15484.82	N/A
2/15/2024	DRG	5516	APR-DRG 132-4	BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD	132-4	IP					8949.85	5817.4	550	34813.53	550	31648.66	N/A	N/A	N/A	N/A	N/A	34813.53	N/A	32598.12	N/A	N/A	28210.37	N/A	27678.1	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	27944.24	N/A
2/15/2024	DRG	5517	APR-DRG 133-1	RESPIRATORY FAILURE	133-1	IP					32476.25	21109.56	550	5732.33	550	5211.21	N/A	N/A	N/A	N/A	N/A	5732.33	N/A	5367.55	N/A	N/A	4827.1	N/A	4736.02	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4781.56	N/A
2/15/2024	DRG	5518	APR-DRG 133-2	RESPIRATORY FAILURE	133-2	IP					12108.9	7870.79	550	5899.62	550	5363.29	N/A	N/A	N/A	N/A	N/A	5899.62	N/A	5524.19	N/A	N/A	4961.62	N/A	4868	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4914.81	N/A
2/15/2024	DRG	5519	APR-DRG 133-3	RESPIRATORY FAILURE	133-3	IP					41522.96	26989.92	550	8700.58	550	7909.62	N/A	N/A	N/A	N/A	N/A	8700.58	N/A	8146.91	N/A	N/A	7213.79	N/A	7077.68	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7145.73	N/A
2/15/2024	DRG	5520	APR-DRG 133-4	RESPIRATORY FAILURE	133-4	IP					182966.17	118928.01	550	13643.15	550	12402.86	N/A	N/A	N/A	N/A	N/A	13643.15	N/A	12774.95	N/A	N/A	11187.95	N/A	10976.86	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11082.4	N/A
2/15/2024	DRG	5521	APR-DRG 134-1	PULMONARY EMBOLISM	134-1	IP					19887.77	12927.05	550	3727.87	550	3388.97	N/A	N/A	N/A	N/A	N/A	3727.87	N/A	3490.64	N/A	N/A	3215.38	N/A	3154.72	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3185.05	N/A
2/15/2024	DRG	5522	APR-DRG 134-2	PULMONARY EMBOLISM	134-2	IP					17540.41	11401.27	550	4787.36	550	4352.15	N/A	N/A	N/A	N/A	N/A	4787.36	N/A	4482.71	N/A	N/A	4067.29	N/A	3990.55	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4028.92	N/A
2/15/2024	DRG	5523	APR-DRG 134-3	PULMONARY EMBOLISM	134-3	IP					20366.71	13238.36	550	7534.08	550	6849.16	N/A	N/A	N/A	N/A	N/A	7534.08	N/A	7054.63	N/A	N/A	6275.84	N/A	6157.42	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6216.63	N/A
2/15/2024	DRG	5524	APR-DRG 134-4	PULMONARY EMBOLISM	134-4	IP					38770.27	25200.68	550	12269.42	550	11154.02	N/A	N/A	N/A	N/A	N/A	12269.42	N/A	11488.64	N/A	N/A	10083.38	N/A	9893.12	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9988.25	N/A
2/15/2024	DRG	5525	APR-DRG 135-1	MAJOR CHEST AND RESPIRATORY TRAUMA	135-1	IP					16508.87	10730.77	550	3840.9	550	3491.73	N/A	N/A	N/A	N/A	N/A	3840.9	N/A	3596.48	N/A	N/A	3306.28	N/A	3243.9	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3275.09	N/A
2/15/2024	DRG	5526	APR-DRG 135-2	MAJOR CHEST AND RESPIRATORY TRAUMA	135-2	IP					10640.65	6916.42	550	4442.24	550	4038.4	N/A	N/A	N/A	N/A	N/A	4442.24	N/A	4159.55	N/A	N/A	3789.79	N/A	3718.28	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3754.03	N/A
2/15/2024	DRG	5527	APR-DRG 135-3	MAJOR CHEST AND RESPIRATORY TRAUMA	135-3	IP					23070.09	14995.56	550	6924.46	550	6294.96	N/A	N/A	N/A	N/A	N/A	6924.46	N/A	6483.81	N/A	N/A	5785.66	N/A	5676.5	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5731.08	N/A
2/15/2024	DRG	5528	APR-DRG 135-4	MAJOR CHEST AND RESPIRATORY TRAUMA	135-4	IP					12100.1	7865.07	550	10102.95	550	9184.5	N/A	N/A	N/A	N/A	N/A	10102.95	N/A	9460.03	N/A	N/A	8341.38	N/A	8184	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8262.69	N/A
2/15/2024	DRG	5529	APR-DRG 136-1	RESPIRATORY MALIGNANCY	136-1	IP					29626.8	19257.42	550	5892.83	550	5357.12	N/A	N/A	N/A	N/A	N/A	5892.83	N/A	5517.83	N/A	N/A	4956.17	N/A	4862.66	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4909.41	N/A
2/15/2024	DRG	5530	APR-DRG 136-2	RESPIRATORY MALIGNANCY	136-2	IP					24385.76	15850.74	550	6062.39	550	5511.26	N/A	N/A	N/A	N/A	N/A	6062.39	N/A	5676.6	N/A	N/A	5092.49	N/A	4996.41	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5044.45	N/A
2/15/2024	DRG	5531	APR-DRG 136-3	RESPIRATORY MALIGNANCY	136-3	IP					61587.67	40031.99	550	8641.8	550	7856.18	N/A	N/A	N/A	N/A	N/A	8641.8	N/A	8091.87	N/A	N/A	7166.52	N/A	7031.3	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7098.91	N/A
2/15/2024	DRG	5532	APR-DRG 136-4	RESPIRATORY MALIGNANCY	136-4	IP					114790.03	74613.52	550	13535.39	550	12304.9	N/A	N/A	N/A	N/A	N/A	13535.39	N/A	12674.05	N/A	N/A	11101.31	N/A	10891.85	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10996.58	N/A
2/15/2024	DRG	5533	APR-DRG 137-1	MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS	137-1	IP					17534.06	11397.14	550	4782.1	550	4347.36	N/A	N/A	N/A	N/A	N/A	4782.1	N/A	4477.78	N/A	N/A	4063.05	N/A	3986.39	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4024.72	N/A
2/15/2024	DRG	5534	APR-DRG 137-2	MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS	137-2	IP					13223.55	8595.31	550	6133.97	550	5576.34	N/A	N/A	N/A	N/A	N/A	6133.97	N/A	5743.63	N/A	N/A	5150.05	N/A	5052.88	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5101.47	N/A
2/15/2024	DRG	5535	APR-DRG 137-3	MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS	137-3	IP					53681.47	34892.96	550	6838.55	550	6216.86	N/A	N/A	N/A	N/A	N/A	6838.55	N/A	6403.37	N/A	N/A	5716.58	N/A	5608.72	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5662.65	N/A
2/15/2024	DRG	5536	APR-DRG 137-4	MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS	137-4	IP					44620.15	29003.1	550	10803.75	550	9821.59	N/A	N/A	N/A	N/A	N/A	10803.75	N/A	10116.24	N/A	N/A	8904.88	N/A	8736.86	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8820.87	N/A
2/15/2024	DRG	5537	APR-DRG 138-1	BRONCHIOLITIS AND RSV PNEUMONIA	138-1	IP					7832.95	5091.42	1608	4160.41	1736.64	3782.19	N/A	N/A	N/A	N/A	N/A	4160.41	N/A	3895.66	N/A	N/A	3563.18	N/A	3495.95	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3529.56	N/A
2/15/2024	DRG	5538	APR-DRG 138-2	BRONCHIOLITIS AND RSV PNEUMONIA	138-2	IP					12026.3	7817.1	1608	5286.97	1736.64	4806.34	N/A	N/A	N/A	N/A	N/A	5286.97	N/A	4950.53	N/A	N/A	4469.01	N/A	4384.69	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4426.85	N/A
2/15/2024	DRG	5539	APR-DRG 138-3	BRONCHIOLITIS AND RSV PNEUMONIA	138-3	IP					20771.25	13501.31	1608	8341.14	1736.64	7582.85	N/A	N/A	N/A	N/A	N/A	8341.14	N/A	7810.34	N/A	N/A	6924.77	N/A	6794.11	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6859.44	N/A
2/15/2024	DRG	5540	APR-DRG 138-4	BRONCHIOLITIS AND RSV PNEUMONIA	138-4	IP					18883.85	12274.5	550	16555.64	550	15050.58	N/A	N/A	N/A	N/A	N/A	16555.64	N/A	15502.1	N/A	N/A	13529.79	N/A	13274.51	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13402.15	N/A
2/15/2024	DRG	5541	APR-DRG 139-1	OTHER PNEUMONIA	139-1	IP					22666.42	14733.17	550	3733.15	550	3393.77	N/A	N/A	N/A	N/A	N/A	3733.15	N/A	3495.58	N/A	N/A	3219.62	N/A	3158.88	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3189.25	N/A
2/15/2024	DRG	5542	APR-DRG 139-2	OTHER PNEUMONIA	139-2	IP					33612.48	21848.11	1608	4591.44	1736.64	4174.04	N/A	N/A	N/A	N/A	N/A	4591.44	N/A	4299.26	N/A	N/A	3909.76	N/A	3835.99	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3872.87	N/A
2/15/2024	DRG	5543	APR-DRG 139-3	OTHER PNEUMONIA	139-3	IP					20696.51	13452.73	1608	6123.43	1736.64	5566.75	N/A	N/A	N/A	N/A	N/A	6123.43	N/A	5733.75	N/A	N/A	5141.57	N/A	5044.56	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5093.07	N/A
2/15/2024	DRG	5544	APR-DRG 139-4	OTHER PNEUMONIA	139-4	IP					19964.18	12976.72	1608	9841.46	1736.64	8946.78	N/A	N/A	N/A	N/A	N/A	9841.46	N/A	9215.18	N/A	N/A	8131.13	N/A	7977.72	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8054.42	N/A
2/15/2024	DRG	5545	APR-DRG 140-1	CHRONIC OBSTRUCTIVE PULMONARY DISEASE	140-1	IP					14966	9727.9	1608	4173.97	1736.64	3794.52	N/A	N/A	N/A	N/A	N/A	4173.97	N/A	3908.36	N/A	N/A	3574.09	N/A	3506.65	N/A	N/A	N/A	N/A	N/A	N/A	1640.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3540.37	N/A
