	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																									
2/15/2024	DRG	5432	APR-DRG 543-2	"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	543-2	IP					65598	42638.7	1632	4782.27	4347.52	N/A	N/A	N/A	N/A	4782.27	N/A	4477.95	N/A	N/A	3941.85	3941.85	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3941.85	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3941.85	N/A	N/A	N/A
2/15/2024	DRG	5433	APR-DRG 543-3	"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	543-3	IP					50804.1	33022.67	1632	6089.04	5535.49	N/A	N/A	N/A	N/A	6089.04	N/A	5701.55	N/A	N/A	5013.29	5013.29	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	5013.29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5013.29	N/A	N/A	N/A
2/15/2024	DRG	5434	APR-DRG 543-4	"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	543-4	IP					134819.74	87632.83	1632	11609.45	10064.66	N/A	N/A	N/A	N/A	11071.13	N/A	10366.6	N/A	N/A	9098.17	9098.17	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	9098.17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9098.17	N/A	N/A	N/A
2/15/2024	DRG	5435	APR-DRG 544-1	"D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY FOR OBSTETRIC DIAGNOSES"	544-1	IP					16943.39	11013.2	1632	4020.86	3655.33	N/A	N/A	N/A	N/A	4020.86	N/A	3764.99	N/A	N/A	3317.56	3317.56	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3317.56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3317.56	N/A	N/A	N/A
2/15/2024	DRG	5436	APR-DRG 544-2	"D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY FOR OBSTETRIC DIAGNOSES"	544-2	IP					31763.08	20646	1632	5265.28	4786.62	N/A	N/A	N/A	N/A	5265.28	N/A	4930.22	N/A	N/A	4337.88	4337.88	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4337.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4337.88	N/A	N/A	N/A
2/15/2024	DRG	5437	APR-DRG 544-3	"D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY FOR OBSTETRIC DIAGNOSES"	544-3	IP					46435.02	30182.76	1632	9156.63	8324.21	N/A	N/A	N/A	N/A	9156.63	N/A	8573.94	N/A	N/A	7528.45	7528.45	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	7528.45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7528.45	N/A	N/A	N/A
2/15/2024	DRG	5438	APR-DRG 544-4	"D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY FOR OBSTETRIC DIAGNOSES"	544-4	IP					105340.25	68471.16	1632	19556.39	17778.54	N/A	N/A	N/A	N/A	19556.39	N/A	18311.9	N/A	N/A	16055.36	16055.36	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	16055.36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16055.36	N/A	N/A	N/A
2/15/2024	DRG	5439	APR-DRG 545-1	ECTOPIC PREGNANCY PROCEDURE	545-1	IP					25939.45	16860.64	1632	7037.51	6397.74	N/A	N/A	N/A	N/A	7037.51	N/A	6589.67	N/A	N/A	5790.95	5790.95	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	5790.95	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5790.95	N/A	N/A	N/A
2/15/2024	DRG	5440	APR-DRG 545-2	ECTOPIC PREGNANCY PROCEDURE	545-2	IP					16036.35	10423.63	1632	8281.05	7528.23	N/A	N/A	N/A	N/A	8281.05	N/A	7754.08	N/A	N/A	6810.55	6810.55	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	6810.55	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6810.55	N/A	N/A	N/A
2/15/2024	DRG	5441	APR-DRG 545-3	ECTOPIC PREGNANCY PROCEDURE	545-3	IP					30957.6	20122.44	1632	10356.27	9414.79	N/A	N/A	N/A	N/A	10356.27	N/A	9697.23	N/A	N/A	8512.05	8512.05	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	8512.05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8512.05	N/A	N/A	N/A
2/15/2024	DRG	5442	APR-DRG 545-4	ECTOPIC PREGNANCY PROCEDURE	545-4	IP					166467.5	108203.88	1632	15047.77	9414.79	N/A	N/A	N/A	N/A	10356.27	N/A	9697.23	N/A	N/A	14550.15	14550.15	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	14550.15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14550.15	N/A	N/A	N/A
2/15/2024	DRG	5443	APR-DRG 546-1	OTHER O.R. PROC FOR OBSTETRIC DIAGNOSES EXCEPT DELIVERY DIAGNOSES	546-1	IP					19509.53	12681.19	1632	6031.08	5482.8	N/A	N/A	N/A	N/A	6031.08	N/A	5647.28	N/A	N/A	4965.77	4965.77	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4965.77	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4965.77	N/A	N/A	N/A
2/15/2024	DRG	5444	APR-DRG 546-2	OTHER O.R. PROC FOR OBSTETRIC DIAGNOSES EXCEPT DELIVERY DIAGNOSES	546-2	IP					65582.71	42628.76	1632	8308.28	7552.98	N/A	N/A	N/A	N/A	8308.28	N/A	7779.57	N/A	N/A	6832.87	6832.87	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	6832.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6832.87	N/A	N/A	N/A
2/15/2024	DRG	5445	APR-DRG 546-3	OTHER O.R. PROC FOR OBSTETRIC DIAGNOSES EXCEPT DELIVERY DIAGNOSES	546-3	IP					15295.28	9941.93	1632	18115.25	16468.41	N/A	N/A	N/A	N/A	18115.25	N/A	16962.46	N/A	N/A	14873.75	14873.75	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	14873.75	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14873.75	N/A	N/A	N/A
2/15/2024	DRG	5446	APR-DRG 546-4	OTHER O.R. PROC FOR OBSTETRIC DIAGNOSES EXCEPT DELIVERY DIAGNOSES	546-4	IP					56892.34	36980.02	1632	18115.25	16468.41	N/A	N/A	N/A	N/A	18115.25	N/A	16962.46	N/A	N/A	14873.75	14873.75	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	14873.75	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14873.75	N/A	N/A	N/A
2/15/2024	DRG	5447	APR-DRG 547-1	ANTEPARTUM WITH O.R. PROCEDURE	547-1	IP					23933.9	15557.04	1632	5831.73	5301.57	N/A	N/A	N/A	N/A	5831.73	N/A	5460.62	N/A	N/A	4802.31	4802.31	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4802.31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4802.31	N/A	N/A	N/A
2/15/2024	DRG	5448	APR-DRG 547-2	ANTEPARTUM WITH O.R. PROCEDURE	547-2	IP					88736.82	57678.93	1632	7245.65	6586.95	N/A	N/A	N/A	N/A	7245.65	N/A	6784.56	N/A	N/A	5961.61	5961.61	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	5961.61	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5961.61	N/A	N/A	N/A
2/15/2024	DRG	5449	APR-DRG 547-3	ANTEPARTUM WITH O.R. PROCEDURE	547-3	IP					62058.18	40337.82	1632	11234.48	10213.16	N/A	N/A	N/A	N/A	11234.48	N/A	10519.55	N/A	N/A	9232.1	9232.1	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	9232.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9232.1	N/A	N/A	N/A
2/15/2024	DRG	5450	APR-DRG 547-4	ANTEPARTUM WITH O.R. PROCEDURE	547-4	IP					147715.39	96015	1632	18960.98	17237.25	N/A	N/A	N/A	N/A	18960.98	N/A	17754.37	N/A	N/A	15567.17	15567.17	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	15567.17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15567.17	N/A	N/A	N/A
2/15/2024	DRG	5451	APR-DRG 548-1	POSTPARTUM AND POST ABORTION DIAGNOSIS WITH O.R. PROCEDURE	548-1	IP					4399.5	2859.68	1632	4005.93	3641.75	N/A	N/A	N/A	N/A	4005.93	N/A	3751	N/A	N/A	3305.32	3305.32	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3305.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3305.32	N/A	N/A	N/A
2/15/2024	DRG	5452	APR-DRG 548-2	POSTPARTUM AND POST ABORTION DIAGNOSIS WITH O.R. PROCEDURE	548-2	IP					13132	8535.8	1632	6470.19	5881.99	N/A	N/A	N/A	N/A	6470.19	N/A	6058.45	N/A	N/A	5325.8	5325.8	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	5325.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5325.8	N/A	N/A	N/A
2/15/2024	DRG	5453	APR-DRG 548-3	POSTPARTUM AND POST ABORTION DIAGNOSIS WITH O.R. PROCEDURE	548-3	IP					210190.1	136623.57	1632	37211.85	22860.79	N/A	N/A	N/A	N/A	25146.87	N/A	23546.61	N/A	N/A	35981.29	35981.29	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	35981.29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	35981.29	N/A	N/A	N/A
2/15/2024	DRG	5454	APR-DRG 548-4	POSTPARTUM AND POST ABORTION DIAGNOSIS WITH O.R. PROCEDURE	548-4	IP					782555.58	508661.13	1632	325995.07	266150.91	N/A	N/A	N/A	N/A	292766	N/A	274135.44	N/A	N/A	315214.73	315214.73	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	315214.73	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	315214.73	N/A	N/A	N/A
2/15/2024	DRG	5455	APR-DRG 560-1	VAGINAL DELIVERY	560-1	IP					10644	6918.6	1632	4520.56	4109.6	N/A	N/A	N/A	N/A	4520.56	N/A	4232.89	N/A	N/A	3727.27	3727.27	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3727.27	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3727.27	N/A	N/A	N/A
2/15/2024	DRG	5456	APR-DRG 560-2	VAGINAL DELIVERY	560-2	IP					29655.38	19276	1632	4964.06	4512.78	N/A	N/A	N/A	N/A	4964.06	N/A	4648.16	N/A	N/A	4090.9	4090.9	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4090.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4090.9	N/A	N/A	N/A
2/15/2024	DRG	5457	APR-DRG 560-3	VAGINAL DELIVERY	560-3	IP					18006.25	11704.06	1632	5932.72	5393.38	N/A	N/A	N/A	N/A	5932.72	N/A	5555.18	N/A	N/A	4885.12	4885.12	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4885.12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4885.12	N/A	N/A	N/A
2/15/2024	DRG	5458	APR-DRG 560-4	VAGINAL DELIVERY	560-4	IP					45312.92	29453.4	1632	8583.16	7802.87	N/A	N/A	N/A	N/A	8583.16	N/A	8036.96	N/A	N/A	7058.25	7058.25	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	7058.25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7058.25	N/A	N/A	N/A
2/15/2024	DRG	5459	APR-DRG 561-1	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT PROCEDURE	561-1	IP					17168.24	11159.36	1574.95	2804.54	2549.58	N/A	N/A	N/A	N/A	2804.54	N/A	2626.07	N/A	N/A	2320.28	2320.28	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2320.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2320.28	N/A	N/A	N/A
2/15/2024	DRG	5460	APR-DRG 561-2	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT PROCEDURE	561-2	IP					12527.95	8143.17	1632	3871.56	3519.6	N/A	N/A	N/A	N/A	3871.56	N/A	3625.19	N/A	N/A	3195.15	3195.15	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3195.15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3195.15	N/A	N/A	N/A
2/15/2024	DRG	5461	APR-DRG 561-3	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT PROCEDURE	561-3	IP					24599.6	15989.74	1632	5303.05	4820.95	N/A	N/A	N/A	N/A	5303.05	N/A	4965.58	N/A	N/A	4368.84	4368.84	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4368.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4368.84	N/A	N/A	N/A
2/15/2024	DRG	5462	APR-DRG 561-4	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT PROCEDURE	561-4	IP					142303.06	92496.99	1632	9823.2	8930.18	N/A	N/A	N/A	N/A	9823.2	N/A	9198.09	N/A	N/A	8074.97	8074.97	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	8074.97	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8074.97	N/A	N/A	N/A
2/15/2024	DRG	5463	APR-DRG 563-1	PRETERM LABOR	563-1	IP					18021.45	11713.94	1632	3424.55	3113.23	N/A	N/A	N/A	N/A	3424.55	N/A	3206.63	N/A	N/A	2828.64	2828.64	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2828.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2828.64	N/A	N/A	N/A
2/15/2024	DRG	5464	APR-DRG 563-2	PRETERM LABOR	563-2	IP					21362.4	13885.56	1632	4181.57	3801.43	N/A	N/A	N/A	N/A	4181.57	N/A	3915.47	N/A	N/A	3449.33	3449.33	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3449.33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3449.33	N/A	N/A	N/A
2/15/2024	DRG	5465	APR-DRG 563-3	PRETERM LABOR	563-3	IP					8863.35	5761.18	1632	5274.94	4795.4	N/A	N/A	N/A	N/A	5274.94	N/A	4939.26	N/A	N/A	4345.8	4345.8	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4345.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4345.8	N/A	N/A	N/A
2/15/2024	DRG	5466	APR-DRG 563-4	PRETERM LABOR	563-4	IP					42158.5	27403.03	1632	5274.94	4795.4	N/A	N/A	N/A	N/A	5274.94	N/A	4939.26	N/A	N/A	4345.8	4345.8	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4345.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4345.8	N/A	N/A	N/A
2/15/2024	DRG	5467	APR-DRG 564-1	"ABORTION WITHOUT D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	564-1	IP					17544.2	11403.73	1632	3135.63	2850.57	N/A	N/A	N/A	N/A	3135.63	N/A	2936.09	N/A	N/A	2591.74	2591.74	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2591.74	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2591.74	N/A	N/A	N/A
2/15/2024	DRG	5468	APR-DRG 564-2	"ABORTION WITHOUT D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	564-2	IP					11830.81	7690.03	1632	4011.19	3646.54	N/A	N/A	N/A	N/A	4011.19	N/A	3755.94	N/A	N/A	3309.64	3309.64	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3309.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3309.64	N/A	N/A	N/A
2/15/2024	DRG	5469	APR-DRG 564-3	"ABORTION WITHOUT D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	564-3	IP					22703.7	14757.41	1632	7734.82	7031.65	N/A	N/A	N/A	N/A	7734.82	N/A	7242.6	N/A	N/A	6362.68	6362.68	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	6362.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6362.68	N/A	N/A	N/A
2/15/2024	DRG	5470	APR-DRG 564-4	"ABORTION WITHOUT D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	564-4	IP					29055.07	18885.8	1632	12565.25	7031.65	N/A	N/A	N/A	N/A	7734.82	N/A	7242.6	N/A	N/A	6362.68	6362.68	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	6362.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6362.68	N/A	N/A	N/A
2/15/2024	DRG	5471	APR-DRG 565-1	FALSE LABOR	565-1	IP					3724.35	2420.83	1632	3583.51	3257.74	N/A	N/A	N/A	N/A	3583.51	N/A	3355.47	N/A	N/A	2958.97	2958.97	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2958.97	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2958.97	N/A	N/A	N/A
2/15/2024	DRG	5472	APR-DRG 565-2	FALSE LABOR	565-2	IP					13343.9	8673.54	1632	4113.08	3739.16	N/A	N/A	N/A	N/A	4113.08	N/A	3851.33	N/A	N/A	3393.16	3393.16	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3393.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3393.16	N/A	N/A	N/A
2/15/2024	DRG	5473	APR-DRG 565-3	FALSE LABOR	565-3	IP					68519.7	44537.81	1632	4113.08	3739.16	N/A	N/A	N/A	N/A	4113.08	N/A	3851.33	N/A	N/A	3393.16	3393.16	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3393.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3393.16	N/A	N/A	N/A
2/15/2024	DRG	5474	APR-DRG 566-1	ANTEPARTUM WITHOUT O.R. PROCEDURE	566-1	IP					6215.05	4039.78	1632	3182.17	2892.88	N/A	N/A	N/A	N/A	3182.17	N/A	2979.67	N/A	N/A	2629.9	2629.9	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2629.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2629.9	N/A	N/A	N/A
2/15/2024	DRG	5475	APR-DRG 566-2	ANTEPARTUM WITHOUT O.R. PROCEDURE	566-2	IP					19798.2	12868.83	1632	3991.88	3628.98	N/A	N/A	N/A	N/A	3991.88	N/A	3737.85	N/A	N/A	3293.79	3293.79	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	3293.79	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3293.79	N/A	N/A	N/A
2/15/2024	DRG	5476	APR-DRG 566-3	ANTEPARTUM WITHOUT O.R. PROCEDURE	566-3	IP					164036.6	106623.79	1632	13360.22	4421.76	N/A	N/A	N/A	N/A	4863.94	N/A	4554.41	N/A	N/A	12918.41	12918.41	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	12918.41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12918.41	N/A	N/A	N/A
2/15/2024	DRG	5477	APR-DRG 566-4	ANTEPARTUM WITHOUT O.R. PROCEDURE	566-4	IP					100930	65604.5	1632	11993.26	10902.96	N/A	N/A	N/A	N/A	11993.26	N/A	11230.05	N/A	N/A	9854.23	9854.23	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	9854.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9854.23	N/A	N/A	N/A
2/15/2024	DRG	5478	APR-DRG 580-1	"NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE"	580-1	IP					15349.1	9976.92	1632	3160.21	2872.92	N/A	N/A	N/A	N/A	3160.21	N/A	2959.11	N/A	N/A	2611.9	2611.9	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2611.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2611.9	N/A	N/A	N/A
2/15/2024	DRG	5479	APR-DRG 580-2	"NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE"	580-2	IP					19592	12734.8	1632	3398.21	3089.28	N/A	N/A	N/A	N/A	3398.21	N/A	3181.96	N/A	N/A	2807.04	2807.04	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	2807.04	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2807.04	N/A	N/A	N/A
2/15/2024	DRG	5480	APR-DRG 580-3	"NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE"	580-3	IP					43785.93	28460.85	1632	4952.64	4502.4	N/A	N/A	N/A	N/A	4952.64	N/A	4637.47	N/A	N/A	4081.54	4081.54	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4081.54	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4081.54	N/A	N/A	N/A
2/15/2024	DRG	5481	APR-DRG 580-4	"NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE"	580-4	IP					35196.7	22877.86	1632	6437.67	4502.4	N/A	N/A	N/A	N/A	4952.64	N/A	4637.47	N/A	N/A	4081.54	4081.54	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	4081.54	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4081.54	N/A	N/A	N/A
2/15/2024	DRG	5482	APR-DRG 581-1	"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE"	581-1	IP					2898.05	1883.73	643.61	1632	1110.11	N/A	N/A	N/A	N/A	1221.12	N/A	1143.41	N/A	N/A	1022.01	1022.01	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	1022.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1022.01	N/A	N/A	N/A
2/15/2024	DRG	5483	APR-DRG 581-2	"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE"	581-2	IP					2176	1414.4	999.5	1632	1451.02	N/A	N/A	N/A	N/A	1596.12	N/A	1494.55	N/A	N/A	1329.48	1329.48	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	1329.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1329.48	N/A	N/A	N/A
2/15/2024	DRG	5484	APR-DRG 581-3	"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE"	581-3	IP					6141.2	3991.78	1459.09	1987.03	1594.73	N/A	N/A	N/A	N/A	1754.2	N/A	1642.57	N/A	N/A	1459.09	1459.09	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	1459.09	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1459.09	N/A	N/A	N/A
2/15/2024	DRG	5485	APR-DRG 581-4	"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE"	581-4	IP					2176	1414.4	1632	9711.92	2141.61	N/A	N/A	N/A	N/A	2355.77	N/A	2205.86	N/A	N/A	1952.33	1952.33	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	1952.33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1952.33	N/A	N/A	N/A
2/15/2024	DRG	5486	APR-DRG 583-1	NEONATE WITH ECMO	583-1	IP					1469746.64	955335.32	1632	740898.45	626456.22	N/A	N/A	N/A	N/A	689101.84	N/A	645249.91	N/A	N/A	716397.65	716397.65	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	716397.65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	716397.65	N/A	N/A	N/A
2/15/2024	DRG	5487	APR-DRG 583-2	NEONATE WITH ECMO	583-2	IP					753940.6	490061.39	1632	381119.16	323670.27	N/A	N/A	N/A	N/A	356037.3	N/A	333380.38	N/A	N/A	368515.92	368515.92	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	368515.92	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	368515.92	N/A	N/A	N/A
2/15/2024	DRG	5488	APR-DRG 583-3	NEONATE WITH ECMO	583-3	IP					2908124.19	1890280.72	1632	1465145.2	1236270.47	N/A	N/A	N/A	N/A	1359897.52	N/A	1273358.58	N/A	N/A	1416694.26	1416694.26	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	1416694.26	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1416694.26	N/A	N/A	N/A
2/15/2024	DRG	5489	APR-DRG 583-4	NEONATE WITH ECMO	583-4	IP					25096524.28	16312740.78	1632	12617505.49	10621963.71	N/A	N/A	N/A	N/A	11684160.08	N/A	10940622.62	N/A	N/A	12200256.71	12200256.71	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	12200256.71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12200256.71	N/A	N/A	N/A
2/15/2024	DRG	5490	APR-DRG 588-2	NEONATE BIRTH WEIGHT < 1500 GRAMS WITH MAJOR PROCEDURE	588-2	IP					926362.89	602135.88	1632	455788.39	383746.3	N/A	N/A	N/A	N/A	422120.93	N/A	395258.69	N/A	N/A	440715.91	440715.91	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	440715.91	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	440715.91	N/A	N/A	N/A
2/15/2024	DRG	5491	APR-DRG 588-3	NEONATE BIRTH WEIGHT < 1500 GRAMS WITH MAJOR PROCEDURE	588-3	IP					1165605.86	757643.81	1632	576709.44	485667.01	N/A	N/A	N/A	N/A	534233.71	N/A	500237.02	N/A	N/A	557638.21	557638.21	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	557638.21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	557638.21	N/A	N/A	N/A
2/15/2024	DRG	5492	APR-DRG 588-4	NEONATE BIRTH WEIGHT < 1500 GRAMS WITH MAJOR PROCEDURE	588-4	IP					1203010.6	781956.89	1632	609009.61	515962.28	N/A	N/A	N/A	N/A	567558.51	N/A	531441.15	N/A	N/A	588870.25	588870.25	N/A	N/A	N/A	N/A	N/A	N/A	1632	N/A	588870.25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	588870.25	N/A	N/A	N/A
